datetime,open,high,low,close,volume
2006-01-05,4714.2,4782.64,4670.55,4760.45,0.0
2006-01-12,4629.64,4659.0,4592.0,4635.35,0.0
2006-01-19,4447.64,4513.6,4447.64,4489.0,0.0
2006-01-25,4493.2,4577.05,4477.3,4494.95,0.0
2006-02-02,4542.14,4542.14,4426.85,4441.05,0.0
2006-02-08,4580.0,4580.0,4501.75,4563.85,0.0
2006-02-16,4542.05,4569.89,4479.35,4548.1,0.0
2006-02-23,4462.5,4478.35,4378.1,4394.89,0.0
2006-03-02,4579.8,4686.39,4560.89,4656.35,0.0
2006-03-09,4555.64,4595.25,4491.1,4587.35,0.0
2006-03-16,4697.8,4738.35,4688.89,4710.5,0.0
2006-03-23,4621.95,4664.0,4594.85,4626.0,0.0
2006-03-30,4678.64,4709.1,4628.35,4638.45,0.0
2006-04-05,4829.45,4895.89,4829.45,4873.0,0.0
2006-04-13,4574.3,4584.8,4408.64,4467.1,0.0
2006-04-20,4626.55,4644.35,4592.2,4624.3,0.0
2006-04-27,4514.14,4562.14,4415.6,4435.8,0.0
2006-05-04,4780.35,4960.75,4780.35,4935.3,0.0
2006-05-11,5047.14,5074.39,4966.35,4991.35,0.0
2006-05-18,4853.64,4853.64,4483.45,4539.5,0.0
2006-05-25,4274.89,4316.8,4187.39,4271.95,0.0
2006-06-01,4130.85,4206.35,4056.75,4075.5,0.0
2006-06-08,3966.3,3966.3,3666.95,3704.35,0.0
2006-06-15,3551.1,3676.85,3534.9,3661.85,0.0
2006-06-22,3686.4,3850.15,3686.4,3829.45,0.0
2006-06-29,3610.65,3668.15,3571.25,3596.2,0.0
2006-07-06,3807.4,3807.4,3742.65,3761.25,0.0
2006-07-13,3688.85,3706.8,3659.4,3676.4,0.0
2006-07-20,3472.0,3626.95,3472.0,3602.45,0.0
2006-07-27,3920.15,3960.6,3844.0,3945.7,0.0
2006-08-03,4097.95,4192.95,4097.95,4152.6,0.0
2006-08-10,4336.35,4378.85,4302.35,4370.55,0.0
2006-08-17,4453.1,4471.39,4394.3,4410.3,0.0
2006-08-24,4377.7,4442.1,4332.8,4428.35,0.0
2006-08-31,4612.0,4633.05,4580.45,4594.85,0.0
2006-09-07,4683.55,4683.55,4627.95,4647.3,0.0
2006-09-14,4853.2,4913.05,4835.1,4896.35,0.0
2006-09-21,4925.0,4990.89,4925.0,4972.95,0.0
